ApplStandard,Brand,Cap,CEC_,Conn_Type,Country,delayStartMode,Depth,Height,Load_Type,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Prog Time,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Tot Wat Cons,Type,Water_Softener,Width,ExpDate,GrandDate,Product Class
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,TUSCANY,12,382,Single,China,True,,,,DW100*-T,AS/NZS 2007.1:2005,2.15,2.0,0.0,1.61,normal,93.0,"Australia,New Zealand",2.12,39042,Approved,11.5,Freestanding,False,,2013-09-25,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,EUROMAID,12,382,Single,China,True,,,,DWF12S,AS/NZS 2007.1:2005,0.0,2.15,0.0,1.61,Normal,93.0,"Australia,New Zealand",2.12,38395,Approved,11.5,Freestanding,False,,2013-06-12,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,ASTIVITA,12,367,Single,China,,,,,ASEDW,AS/NZS 2007.1:2005,2.26374,2.0,,,NORMAL,93.0,"Australia,New Zealand",,25461,Superseded,11.5,Freestanding,False,,2011-09-12,2007-03-31,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Haier,9,299,Single,China,False,,,,HDW9SST,AS/NZS 2007.1:2005,2.0411,2.0,0.0,0.0,COLD WATER CONNECTION USING NORMAL PROGRAM,124.75,"Australia,New Zealand",0.0,38809,Approved,12.6,Freestanding,False,,2013-07-23,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Haier,9,299,Single,China,False,,,,HDW9WHT,AS/NZS 2007.1:2005,2.0411,2.0,0.0,0.0,COLD WATER CONNECTION USING NORMAL PROGRAM,124.75,"Australia,New Zealand",0.0,38809,Approved,12.6,Freestanding,False,,2013-07-23,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,IAG,12,382,Single,China,True,,,,IDF6*E2E,AS/NZS 2007.1:2005,2.1514,2.0,0.0,1.61,Normal,93.0,"Australia,New Zealand",2.12,36786,Approved,11.5,Freestanding,False,,2013-08-11,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,CIMBRE,12,382,Single,China,True,,,,CD6S,AS/NZS 2007.1:2005,2.1514,2.0,0.0,1.61,normal,93.0,"Australia,New Zealand",2.12,37083,Approved,11.5,Freestanding,False,,2013-06-22,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,TECHNIKA,12,382,Single,China,True,,,,TDX6**-2,AS/NZS 2007.1:2005,2.1214,2.0,0.0,1.61,NORMAL WASH,93.0,"Australia,New Zealand",2.12,27716,Approved,11.5,Freestanding,False,,2014-06-11,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,TECHNIKA,12,387,Single,China,,600.0,850.0,,TBD4**-2,AS/NZS 2007.1:2005,2.114973099,2.0,,,Normal and Economy,128.0,"Australia,New Zealand",,26301,Superseded,14.6,Freestanding,False,600.0,2011-06-22,2007-03-31,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,TELMANN,12,387,Single,China,,600.0,850.0,,TEL12DWMSV2,AS/NZS 2007.1:2005,2.114973099,2.0,,,Normal and Economy,128.0,"Australia,New Zealand",,25889,Superseded,14.6,Freestanding,False,600.0,2011-05-09,2007-03-31,
