ApplStandard,Brand,Cap,CEC Cold,CEC_,Cold Prog,Cold Wat Cons,Combination,Conn_Mode,Country,delayStartMode,Depth,DetergentType,Height,Hot Wat Cons,internal_heater,Loading,MachineAction,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Test Prog Time,Tot Wat Cons,Type,WEI,Width,ExpDate,GrandDate,Product Class
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),WESTINGHOUSE,9.5,89,781,"Whites, More Dirty, Ex-High Level,Eco",88.5,False,Dual,Australia,,,Non Drum,,41.8,No,Top,Agitator,LT959SA,AS/NZS 2040.1:2005/Amdt 3:2010,2.148,2.0,,,"Whites,More Dirty,Ex-High Level, Eco","Australia,New Zealand",,24089,Expired,72.0,130.4,Non-Drum,0.66,,2011-01-31,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),ELECTROLUX,8,104,356,Cotton Cold,65.8,False,Cold,Thailand,,,Drum,,0.5,Yes on the warm wash program only,Front,Drum,EWF 1090,AS/NZS 2040.1:2005/Amdt 3:2010,3.68,3.5,,,Cotton Eco 60 (1000 RPM),"Australia,New Zealand",,23734,Expired,155.0,66.3,Drum,0.62,,2010-12-20,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),ARISTON,10,,252,,83.1,False,Cold,Italy,,,Drum,,0.0,Yes on the warm wash program only,Front,Drum,BS 1400,AS/NZS 2040.1:2005/Amdt 3:2010,4.99,4.5,,,"Program 3, 40o C","Australia,New Zealand",,24540,Expired,90.75,83.1,Drum,0.517,,2011-03-01,,
AS/NZS 2040.2:2000 (Legacy),MAYTAG,7.5,105,845,,101.0,,Dual,United States,,718.0,,1102.0,44.0,,Top,Agitator,MAV7600AGE,AS/NZS 2040.1:2005/Amdt 3:2010,1.19,1.0,,,Normal whites - Regular Wash,,,4674,Expired,52.0,145.0,Non-Drum,0.83,686.0,2006-08-09,,
AS/NZS 2040.2:2000 (Legacy),MAYTAG,7.5,105,845,,101.0,,Dual,United States,,718.0,,1102.0,44.0,,Top,Agitator,MAV6300AGE,AS/NZS 2040.1:2005/Amdt 3:2010,1.19,1.0,,,Normal whites - Regular Wash,,,4674,Expired,52.0,145.0,Non-Drum,0.83,686.0,2006-08-09,,
AS/NZS 2040.2:2000 (Legacy),MAYTAG,7.5,105,845,,101.0,,Dual,United States,,718.0,,1102.0,44.0,,Top,Agitator,MAV7750AGE,AS/NZS 2040.1:2005/Amdt 3:2010,1.19,1.0,,,Normal whites - Regular Wash,,,4674,Expired,52.0,145.0,Non-Drum,0.83,686.0,2006-08-09,,
AS/NZS 2040.2:2000 (Legacy),WESTINGHOUSE,7,,186,,75.0,,Dual,"""Korea, Republic of""",,600.0,,850.0,0.0,,Front,Drum,LG WD-8050FH,AS/NZS 2040.1:2005/Amdt 3:2010,4.42,4.0,,,"Coloureds 40C, 800 Spin, Wash Program",,,4550,Expired,106.0,76.0,Drum,0.72,600.0,2005-09-19,,
AS/NZS 2040.2:2000 (Legacy),WESTINGHOUSE,7,,186,,75.0,,Dual,"""Korea, Republic of""",,600.0,,850.0,0.0,,Front,Drum,LF708B,AS/NZS 2040.1:2005/Amdt 3:2010,4.42,4.0,,,"Coloureds 40C, 800 Spin, Wash Program",,,4550,Expired,106.0,76.0,Drum,0.72,600.0,2005-09-19,,
AS/NZS 2040.2:2000 (Legacy),SAMSUNG,6.5,59,678,Water saving cold wash,47.4,,Dual,Thailand,,,Non Drum,,36.8,,Top,Agitator,SW674ASP,AS/NZS 2040.1:2005/Amdt 3:2010,1.5031,1.5,,,Water saving warm wash,"Australia,New Zealand",,21340,Expired,44.0,84.3,Non-Drum,0.697,,2010-06-26,,
AS/NZS 2040.2:2000 (Legacy),LG,8,,205,,59.6,True,Dual,"""Korea, Republic of""",,,Drum,,,No,Front,Drum,WD-1485RD,AS/NZS 2040.1:2005/Amdt 3:2010,4.8829,4.5,,,Cottons40 Intensive,"Australia,New Zealand",,21878,Expired,130.0,59.6,Drum,0.555,,2010-08-31,,
