Appliance,Brand,Model.No,Country,CEC_,New.SRI,New.Star,Tot.Wat.Cons,Cap,Factoid1Name,Factoid1Value,Factoid2Name,Factoid2Value,Factoid3Name,Factoid3Value
Clothes Washer,LG,WD-1223FB,,206,4.64,4.5,71,7.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,GENERAL ELECTRIC,WPRB9220,United States,1157,0.81,1,166.9,8.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,LG,WD-1422FD,"""Korea, Republic of""",209,4.5137,4.5,78,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,LG,WD-8015FB,"""Korea, Republic of""",226,4.11,4,84,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,ARISTON,AXD 120,Italy,392,3.17,3,84.4,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,HOOVER,800ELD,Australia,722,1.91,1.5,194,8,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,HOOVER,800RLD,Australia,722,1.91,1.5,194,8,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,LG,WF-T552C,China,593,1.33,1,119,5.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,LG,WF-T502C,China,608,1.03,1,162.4,5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,Haier,XQG60-QFQ1000,China,348,3.04,3,72,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,Haier,XQG50-HN800TX,China,420,2,2,94,5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,LG,WD-1610FD,"""Korea, Republic of""",257,4.1795,4,94,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,INDESIT,WIL102,Italy,382,3.0691,3,71.1,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,HOOVER,800RLC,Australia,722,1.91,1.5,194,8,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,HOOVER,800ELC,Australia,722,1.91,1.5,194,8,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,ASKO,W6441,Sweden,165,4.7318,4.5,59.7,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,ARISTON,AVG16,Italy,326,3.59362,3.5,95.2,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,EUROLEC,EW 1000,Italy,291,2.9492,2.5,62,5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,MIELE,W463,Germany,184,4.3452,4,53,5.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,MAYTAG,MAF1375AAW,Italy,302,3.7,3.5,71.7,7.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,MAYTAG,MAF1275AAW,Italy,302,3.7,3.5,71.7,7.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,LG,WD-1015FB,"""Korea, Republic of""",220,4.32,4,88,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,ELECTROLUX,EW1170C,Sweden,177,2.88,2.5,50,3,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,MAYTAG,LAT9306AGE,United States,767,1.36,1,135,7.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,MAYTAG,LAT9606AGE,United States,767,1.36,1,135,7.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,MAYTAG,LAT9806AGE,United States,767,1.36,1,135,7.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,CANDY,CBD 101.75-04 AUS,United Kingdom,443,3.1394,3,64.9,8,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,Haier,HWM5TL,China,460,1.74,1.5,144.7,5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,Haier,XQJ50-31B,China,460,1.74,1.5,144.7,5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,MAYTAG,MAV6451AGW,United States,804,1.501,1.5,135.42,8,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,MAYTAG,MAV9750AGW,United States,804,1.501,1.5,135.42,8,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,LG,WF-T802,"""Korea, Republic of""",804,1.51,1.5,185,8,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,MIELE,W918,Germany,204,3.89,3.5,80,5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,ANDI,WAH7212G,Turkey,352,3.08,3,66,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,KLEENMAID,LTK95 & LTK96,United States,610,2.2,2,99.1,8,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,SIMPSON,36S550L,Australia,457,2.052,2,75.4,5.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,THOR,TH1155LS,Spain,323,3.13697,3,58,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,FISHER & PAYKEL,IW512,"Australia,New Zealand",458,2.0557,2,105.3,5.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,MAYTAG,MAV7750AGE,United States,845,1.19,1,145,7.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,MAYTAG,MAV6300AGE,United States,845,1.19,1,145,7.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,MAYTAG,MAV7600AGE,United States,845,1.19,1,145,7.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,FISHER & PAYKEL,GW612,"Australia,New Zealand",518,2.22,2,87,6.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,OMEGA,OCW600,Slovenia,256,3.1,3,60.5,5.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,SAMSUNG,SW51ASP,Thailand,451,1.6866,1.5,105,5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,MAYTAG,PAV3300AGW,United States,728,1.73,1.5,150.9,8,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,MAYTAG,MAF1200AAW,Italy,278,3.56,3.5,38.05,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,MAYTAG,MAF1300AAW,,326,3.45,3,68.43,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,FISHER & PAYKEL,IW712,"Australia,New Zealand",321,3.5,3.5,97,7,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,Haier,XQJ85-96,China,880,1.49,1,164.3,8.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,ANDI,WMA7612L,Turkey,261,3.736,3.5,60.66,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,INDESIT,WIXL 125,Italy,324,3.635,3.5,73.1,7.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,MAYTAG,LAT9606BGE,United States,695,1.45,1,140,7,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,MAYTAG,LAT9306BGE,United States,695,1.45,1,140,7,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,MAYTAG,LAT9806BGE,United States,695,1.45,1,140,7,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,SIMPSON,45S651D,Italy,323,3.412,3,78.9,6.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,KLEENMAID,KFL1600,Slovenia,155,5.1,5,51,6.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,SIMPSON,22S805L,Australia,690,2.043,2,108,8,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,SIMPSON,22S800L,Australia,690,2.043,2,108,8,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,THOR,TWM605,Italy,272,3,3,73,5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,THOR,ST100X,Italy,290,3.148783,3,70.1,5.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,THOR,Bendix  B1053X  / VCW0691,Italy,337,3.0727,3,114,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,THOR,ST120X,Italy,337,3.0727,3,114,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,BOSCH,WFR2830AU,Germany,200,4.5,4.5,49.3,6.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,WESTINGHOUSE,LT955S,Australia,804,2.032,2,129.8,9.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,BOSCH,WFL2000AU,Thailand,190,4.393,4,73.1,6.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,BOSCH,WFL2080AU,Thailand,190,4.393,4,73.1,6.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,ARISTON,AVXL105,Italy,290,3.58,3.5,70.5,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,CENTREX,CTW45268,China,469,1.49,1,118,4.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,Haier,HWMP60TLF / QXB60-91BF,China,471,2.1,2,123.8,6,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,LG,WD-8003CH,Turkey,304,2.73,2.5,64,5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,TELMANN,TEL5FL,China,414,2.04,2,76.05,5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,BENDIX,W1043N,Italy,287,3.08,3,80,5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,LG,WD-1460FHD,"""Korea, Republic of""",257,4.17,4,94,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,HITACHI,PS-40AP,Thailand,324,0.89,1,64,2.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,LG,WT-H555A,"""Korea, Republic of""",573,1.44,1,62.3,5.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
