Submit_ID,Brand_Reg,Model_No,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class
54015,Kogan,LC-32A58(DVB-T+DVD),Australia,China,80.12,2743.3,LCD,0.66,0.0,0.0,102.43,3.0,3.278,378.0,Approved,2015-11-08,,
54015,Kogan,LC-32A50(DVB-T+DVD),Australia,China,80.12,2743.3,LCD,0.66,0.0,0.0,102.43,3.0,3.278,378.0,Approved,2015-11-08,,
54015,Kogan,LC-32A40(DVB-T ),Australia,China,80.12,2743.3,LCD,0.66,0.0,0.0,102.43,3.0,3.278,378.0,Approved,2015-11-08,,
54015,Kogan,LC-32A40(DVB-T+DVD),Australia,China,80.12,2743.3,LCD,0.66,0.0,0.0,102.43,3.0,3.278,378.0,Approved,2015-11-08,,
54015,Kogan,KGN1080PPRO32VDA,Australia,China,80.12,2743.3,LCD,0.66,0.0,0.0,102.43,3.0,3.278,378.0,Approved,2015-11-08,,
50859,LG,42LE5310-TC,"Australia,New Zealand",Indonesia,106.73,4867.7,LCD (LED),0.09,0.0,0.0,80.52,6.0,6.136,323.0,Approved,2015-05-31,,
56350,LG,55LW7700-TA,"Australia,New Zealand","""Korea, Republic of""",138.78,8230.1,LCD,0.07,0.0,0.0,100.7,7.0,7.295,400.0,Approved,2016-03-15,,
48069,YESS,LCD 1918HD,"Australia,New Zealand",China,48.14,1041.6,LCD,0.9943,0.0,0.0,41.7,4.0,4.132,158.0,Approved,2015-01-21,,
51039,SOYEA,55LT40,"Australia,New Zealand",China,138.78,8228.0,LCD,1.241,0.0,0.0,353.56,2.0,2.022,1297.0,Approved,2015-05-26,,
52238,SHARP,LC-32L450X,"Australia,New Zealand",Malaysia,80.0,2732.2,LCD,0.7,18.9,0.5,91.2,3.5,3.738,340.0,Approved,2015-08-29,,
46672,LG,42LH210C-TA,"Australia,New Zealand","""Korea, Republic of""",106.68,4867.57,LCD,0.38,0.0,0.0,164.46,3.0,3.044,644.0,Approved,2014-10-08,,
46672,LG,42LH200C-TA,"Australia,New Zealand","""Korea, Republic of""",106.68,4867.57,LCD,0.38,0.0,0.0,164.46,3.0,3.044,644.0,Approved,2014-10-08,,
51095,LG,50PK250-AC,"Australia,New Zealand","""Korea, Republic of""",126.95,6888.4,Plasma,0.1,0.0,0.0,186.7,4.0,4.122,690.0,Approved,2015-06-22,,
56176,LG,47LW9500-TA,"Australia,New Zealand","""Korea, Republic of""",119.29,6080.2,LCD,0.06,0.0,0.0,108.72,5.5,5.737,430.0,Approved,2016-02-08,,
